district,state,date,fire_count,year,month,day,day_of_season
Faridabad,Haryana,2023-10-03,0,2023,10,3,3
Fatehabad,Haryana,2023-10-03,1,2023,10,3,3
Gurugram,Haryana,2023-10-03,0,2023,10,3,3
Hisar,Haryana,2023-10-03,5,2023,10,3,3
Jhajjar,Haryana,2023-10-03,4,2023,10,3,3
Jind,Haryana,2023-10-03,0,2023,10,3,3
Kaithal,Haryana,2023-10-03,5,2023,10,3,3
Karnal,Haryana,2023-10-03,0,2023,10,3,3
Kurukshetra,Haryana,2023-10-03,4,2023,10,3,3
Mahendragarh,Haryana,2023-10-03,1,2023,10,3,3
Nuh,Haryana,2023-10-03,0,2023,10,3,3
Palwal,Haryana,2023-10-03,7,2023,10,3,3
Panchkula,Haryana,2023-10-03,1,2023,10,3,3
Panipat,Haryana,2023-10-03,3,2023,10,3,3
Rewari,Haryana,2023-10-03,0,2023,10,3,3
Rohtak,Haryana,2023-10-03,2,2023,10,3,3
Sirsa,Haryana,2023-10-03,1,2023,10,3,3
Sonipat,Haryana,2023-10-03,2,2023,10,3,3
Yamunanagar,Haryana,2023-10-03,3,2023,10,3,3
Amritsar,Punjab,2023-10-03,78,2023,10,3,3
Barnala,Punjab,2023-10-03,2,2023,10,3,3
Bathinda,Punjab,2023-10-03,2,2023,10,3,3
Faridkot,Punjab,2023-10-03,0,2023,10,3,3
Fatehgarh Sahib,Punjab,2023-10-03,0,2023,10,3,3
Fazilka,Punjab,2023-10-03,1,2023,10,3,3
Ferozepur,Punjab,2023-10-03,4,2023,10,3,3
Gurdaspur,Punjab,2023-10-03,3,2023,10,3,3
Hoshiarpur,Punjab,2023-10-03,0,2023,10,3,3
Jalandhar,Punjab,2023-10-03,3,2023,10,3,3
Kapurthala,Punjab,2023-10-03,15,2023,10,3,3
Ludhiana,Punjab,2023-10-03,0,2023,10,3,3
Malerkotla,Punjab,2023-10-03,0,2023,10,3,3
Mansa,Punjab,2023-10-03,0,2023,10,3,3
Moga,Punjab,2023-10-03,0,2023,10,3,3
Pathankot,Punjab,2023-10-03,0,2023,10,3,3
Patiala,Punjab,2023-10-03,12,2023,10,3,3
Rupnagar,Punjab,2023-10-03,0,2023,10,3,3
S A S Nagar,Punjab,2023-10-03,4,2023,10,3,3
Sangrur,Punjab,2023-10-03,5,2023,10,3,3
Shahid Bhagat Singh Nagar,Punjab,2023-10-03,0,2023,10,3,3
Sri Muktsar Sahib,Punjab,2023-10-03,0,2023,10,3,3
Tarn Taran,Punjab,2023-10-03,41,2023,10,3,3
Ambala,Haryana,2023-10-04,16,2023,10,4,4
Bhiwani,Haryana,2023-10-04,0,2023,10,4,4
Charkhi Dadri,Haryana,2023-10-04,0,2023,10,4,4
Faridabad,Haryana,2023-10-04,0,2023,10,4,4
Fatehabad,Haryana,2023-10-04,5,2023,10,4,4
Gurugram,Haryana,2023-10-04,3,2023,10,4,4
Hisar,Haryana,2023-10-04,8,2023,10,4,4
Jhajjar,Haryana,2023-10-04,0,2023,10,4,4
Jind,Haryana,2023-10-04,6,2023,10,4,4
Kaithal,Haryana,2023-10-04,2,2023,10,4,4
Karnal,Haryana,2023-10-04,0,2023,10,4,4
Kurukshetra,Haryana,2023-10-04,10,2023,10,4,4
Mahendragarh,Haryana,2023-10-04,0,2023,10,4,4
Nuh,Haryana,2023-10-04,0,2023,10,4,4
Palwal,Haryana,2023-10-04,4,2023,10,4,4
Panchkula,Haryana,2023-10-04,0,2023,10,4,4
Panipat,Haryana,2023-10-04,2,2023,10,4,4
Rewari,Haryana,2023-10-04,0,2023,10,4,4
Rohtak,Haryana,2023-10-04,0,2023,10,4,4
Sirsa,Haryana,2023-10-04,1,2023,10,4,4
Sonipat,Haryana,2023-10-04,5,2023,10,4,4
Yamunanagar,Haryana,2023-10-04,2,2023,10,4,4
Amritsar,Punjab,2023-10-04,95,2023,10,4,4
Barnala,Punjab,2023-10-04,1,2023,10,4,4
Bathinda,Punjab,2023-10-04,6,2023,10,4,4
Faridkot,Punjab,2023-10-04,1,2023,10,4,4
Fatehgarh Sahib,Punjab,2023-10-04,1,2023,10,4,4
Fazilka,Punjab,2023-10-04,0,2023,10,4,4
Ferozepur,Punjab,2023-10-04,5,2023,10,4,4
Gurdaspur,Punjab,2023-10-04,1,2023,10,4,4
Hoshiarpur,Punjab,2023-10-04,1,2023,10,4,4
Jalandhar,Punjab,2023-10-04,1,2023,10,4,4
Kapurthala,Punjab,2023-10-04,13,2023,10,4,4
Ludhiana,Punjab,2023-10-04,6,2023,10,4,4
Malerkotla,Punjab,2023-10-04,0,2023,10,4,4
Mansa,Punjab,2023-10-04,0,2023,10,4,4
Moga,Punjab,2023-10-04,0,2023,10,4,4
Pathankot,Punjab,2023-10-04,0,2023,10,4,4
Patiala,Punjab,2023-10-04,17,2023,10,4,4
Rupnagar,Punjab,2023-10-04,0,2023,10,4,4
S A S Nagar,Punjab,2023-10-04,8,2023,10,4,4
Sangrur,Punjab,2023-10-04,2,2023,10,4,4
Shahid Bhagat Singh Nagar,Punjab,2023-10-04,1,2023,10,4,4
Sri Muktsar Sahib,Punjab,2023-10-04,0,2023,10,4,4
Tarn Taran,Punjab,2023-10-04,37,2023,10,4,4
Ambala,Haryana,2023-10-05,12,2023,10,5,5
Bhiwani,Haryana,2023-10-05,1,2023,10,5,5
Charkhi Dadri,Haryana,2023-10-05,0,2023,10,5,5
Faridabad,Haryana,2023-10-05,0,2023,10,5,5
Fatehabad,Haryana,2023-10-05,10,2023,10,5,5
Gurugram,Haryana,2023-10-05,0,2023,10,5,5
Hisar,Haryana,2023-10-05,6,2023,10,5,5
Jhajjar,Haryana,2023-10-05,3,2023,10,5,5
Jind,Haryana,2023-10-05,9,2023,10,5,5
Kaithal,Haryana,2023-10-05,3,2023,10,5,5
Karnal,Haryana,2023-10-05,0,2023,10,5,5
Kurukshetra,Haryana,2023-10-05,9,2023,10,5,5
Mahendragarh,Haryana,2023-10-05,0,2023,10,5,5
Nuh,Haryana,2023-10-05,1,2023,10,5,5
Palwal,Haryana,2023-10-05,5,2023,10,5,5
Panchkula,Haryana,2023-10-05,0,2023,10,5,5
Panipat,Haryana,2023-10-05,4,2023,10,5,5
Rewari,Haryana,2023-10-05,0,2023,10,5,5
Rohtak,Haryana,2023-10-05,0,2023,10,5,5
Sirsa,Haryana,2023-10-05,3,2023,10,5,5
Sonipat,Haryana,2023-10-05,2,2023,10,5,5
Yamunanagar,Haryana,2023-10-05,5,2023,10,5,5
Amritsar,Punjab,2023-10-05,130,2023,10,5,5
Barnala,Punjab,2023-10-05,1,2023,10,5,5
Bathinda,Punjab,2023-10-05,5,2023,10,5,5
Faridkot,Punjab,2023-10-05,1,2023,10,5,5
Fatehgarh Sahib,Punjab,2023-10-05,2,2023,10,5,5
Fazilka,Punjab,2023-10-05,1,2023,10,5,5
Ferozepur,Punjab,2023-10-05,8,2023,10,5,5
Gurdaspur,Punjab,2023-10-05,6,2023,10,5,5
Hoshiarpur,Punjab,2023-10-05,0,2023,10,5,5
Jalandhar,Punjab,2023-10-05,9,2023,10,5,5
Kapurthala,Punjab,2023-10-05,11,2023,10,5,5
Ludhiana,Punjab,2023-10-05,0,2023,10,5,5
Malerkotla,Punjab,2023-10-05,1,2023,10,5,5
Mansa,Punjab,2023-10-05,7,2023,10,5,5
Moga,Punjab,2023-10-05,0,2023,10,5,5
Pathankot,Punjab,2023-10-05,0,2023,10,5,5
Patiala,Punjab,2023-10-05,20,2023,10,5,5
Rupnagar,Punjab,2023-10-05,1,2023,10,5,5
S A S Nagar,Punjab,2023-10-05,3,2023,10,5,5
Sangrur,Punjab,2023-10-05,8,2023,10,5,5
Shahid Bhagat Singh Nagar,Punjab,2023-10-05,0,2023,10,5,5
Sri Muktsar Sahib,Punjab,2023-10-05,0,2023,10,5,5
Tarn Taran,Punjab,2023-10-05,35,2023,10,5,5
Ambala,Haryana,2023-10-06,8,2023,10,6,6
Bhiwani,Haryana,2023-10-06,0,2023,10,6,6
Charkhi Dadri,Haryana,2023-10-06,0,2023,10,6,6
Faridabad,Haryana,2023-10-06,0,2023,10,6,6
Fatehabad,Haryana,2023-10-06,9,2023,10,6,6
Gurugram,Haryana,2023-10-06,0,2023,10,6,6
Hisar,Haryana,2023-10-06,5,2023,10,6,6
Jhajjar,Haryana,2023-10-06,3,2023,10,6,6
Jind,Haryana,2023-10-06,7,2023,10,6,6
Kaithal,Haryana,2023-10-06,4,2023,10,6,6
Karnal,Haryana,2023-10-06,2,2023,10,6,6
Kurukshetra,Haryana,2023-10-06,3,2023,10,6,6
Mahendragarh,Haryana,2023-10-06,0,2023,10,6,6
Nuh,Haryana,2023-10-06,0,2023,10,6,6
Palwal,Haryana,2023-10-06,2,2023,10,6,6
Panchkula,Haryana,2023-10-06,2,2023,10,6,6
Panipat,Haryana,2023-10-06,0,2023,10,6,6
Rewari,Haryana,2023-10-06,0,2023,10,6,6
Rohtak,Haryana,2023-10-06,0,2023,10,6,6
Sirsa,Haryana,2023-10-06,2,2023,10,6,6
Sonipat,Haryana,2023-10-06,1,2023,10,6,6
Yamunanagar,Haryana,2023-10-06,2,2023,10,6,6
Amritsar,Punjab,2023-10-06,84,2023,10,6,6
Barnala,Punjab,2023-10-06,2,2023,10,6,6
Bathinda,Punjab,2023-10-06,5,2023,10,6,6
