date,state,district,latitude,longitude,T2M,RH2M,WS2M,PRECTOTCORR
2023-10-02,Haryana,Rewari,28.218052063163164,76.58132633069286,26.65,49.71,1.83,0.0
2023-10-02,Haryana,Rohtak,28.890391271768912,76.58711212346486,26.37,46.52,1.98,0.0
2023-10-02,Haryana,Sirsa,29.607701636133694,74.90219049734955,27.64,37.99,1.47,0.0
2023-10-02,Haryana,Sonipat,29.04144661205219,76.92269022620889,26.37,46.52,1.98,0.0
2023-10-02,Haryana,Yamunanagar,30.21596046306505,77.32593352712522,24.15,67.46,1.54,0.0
2023-10-02,Punjab,Amritsar,31.768348175268173,74.83152910633842,24.74,56.43,0.79,0.3
2023-10-02,Punjab,Barnala,30.371680221986,75.50398867541129,25.73,45.92,1.06,0.0
2023-10-02,Punjab,Bathinda,30.17871971019124,75.04726349831094,26.77,42.85,1.32,0.0
2023-10-02,Punjab,Faridkot,30.601450692214996,74.7950175816776,26.19,44.86,1.1,0.0
2023-10-02,Punjab,Fatehgarh Sahib,30.66340418174693,76.38030000408074,24.75,53.98,1.27,0.02
2023-10-02,Punjab,Fazilka,30.31980391667596,74.12171938317266,26.99,41.52,1.11,0.0
2023-10-02,Punjab,Ferozepur,30.87509200657761,74.65246116977548,26.5,43.73,0.99,0.0
2023-10-02,Punjab,Gurdaspur,31.9037264151506,75.2275586781716,24.74,56.43,0.79,0.3
2023-10-02,Punjab,Hoshiarpur,31.609219596154738,75.84642415551608,25.0,53.07,0.79,0.15
2023-10-02,Punjab,Jalandhar,31.29216013175042,75.56799015005336,25.0,53.07,0.79,0.15
2023-10-02,Punjab,Kapurthala,31.385696002099188,75.30507242617082,25.12,50.91,0.9,0.01
2023-10-02,Punjab,Ludhiana,30.7894070063378,75.8269723540071,25.24,49.52,0.86,0.02
2023-10-02,Punjab,Malerkotla,30.53539665453949,75.90930476301081,25.73,45.92,1.06,0.0
2023-10-02,Punjab,Mansa,29.87609304897272,75.48897114252104,26.41,42.18,1.39,0.0
2023-10-02,Punjab,Moga,30.78789813490662,75.15948622899586,25.68,47.64,0.98,0.0
2023-10-02,Punjab,Pathankot,32.30240743677128,75.65917183518236,21.53,66.13,1.06,2.44
2023-10-02,Punjab,Patiala,30.209446568832767,76.3401900977164,25.43,46.34,1.54,0.0
2023-10-02,Punjab,Rupnagar,31.091852137104816,76.52884261538372,24.97,54.91,0.96,0.15
2023-10-02,Punjab,S A S Nagar,30.648369118470583,76.74153537716319,23.76,65.29,1.28,0.05
2023-10-02,Punjab,Sangrur,30.13610603133042,75.85318872676024,26.41,42.18,1.39,0.0
2023-10-02,Punjab,Shahid Bhagat Singh Nagar,31.1269689351848,76.15989883059602,24.97,54.91,0.96,0.15
2023-10-02,Punjab,Sri Muktsar Sahib,30.2867161417038,74.52622342534394,26.99,41.52,1.11,0.0
2023-10-02,Punjab,Tarn Taran,31.321239581691398,74.84163356037237,25.12,50.91,0.9,0.01
2023-10-03,Haryana,Ambala,30.343438108912817,76.95024921469127,22.65,72.91,2.16,0.0
2023-10-03,Haryana,Bhiwani,28.73219288472609,75.89337821950218,28.41,27.92,1.94,0.0
2023-10-03,Haryana,Charkhi Dadri,28.600107403877978,76.11252943314335,27.4,34.21,2.03,0.0
