date,state,district,T2M,RH2M,WS2M,PRECTOTCORR
2026-09-20,Punjab,Rupnagar,27.6,63,3.2,0.0
2026-09-20,Punjab,S A S Nagar,27.6,65,4.9,0.0
2026-09-20,Punjab,Sangrur,27.7,71,3.8,0.0
2026-09-20,Punjab,Shahid Bhagat Singh Nagar,28.8,56,6.2,0.0
2026-09-20,Punjab,Sri Muktsar Sahib,28.2,71,4.1,0.0
2026-09-20,Punjab,Tarn Taran,27.4,70,3.9,0.0
2026-09-21,Haryana,Ambala,28.4,62,7.8,0.0
2026-09-21,Haryana,Bhiwani,28.1,64,4.9,0.0
2026-09-21,Haryana,Charkhi Dadri,28.1,64,4.7,0.0
2026-09-21,Haryana,Faridabad,29.7,62,5.0,0.0
2026-09-21,Haryana,Fatehabad,27.3,71,5.5,0.0
2026-09-21,Haryana,Gurugram,28.1,68,5.3,0.0
2026-09-21,Haryana,Hisar,28.0,68,4.9,0.0
2026-09-21,Haryana,Jhajjar,28.1,66,5.9,0.0
2026-09-21,Haryana,Jind,27.2,70,7.0,0.0
2026-09-21,Haryana,Kaithal,27.5,68,8.0,0.0
2026-09-21,Haryana,Karnal,27.9,66,8.6,0.0
2026-09-21,Haryana,Kurukshetra,27.8,66,8.9,0.0
2026-09-21,Haryana,Mahendragarh,28.8,60,4.6,0.0
2026-09-21,Haryana,Nuh,28.9,66,5.6,0.0
2026-09-21,Haryana,Palwal,28.3,71,5.9,0.0
2026-09-21,Haryana,Panchkula,25.5,67,7.3,0.0
2026-09-21,Haryana,Panipat,27.4,70,7.7,0.0
2026-09-21,Haryana,Rewari,28.9,62,5.3,0.0
2026-09-21,Haryana,Rohtak,27.9,67,7.2,0.0
2026-09-21,Haryana,Sirsa,27.9,68,2.4,0.0
2026-09-21,Haryana,Sonipat,27.8,68,7.0,0.0
2026-09-21,Haryana,Yamunanagar,27.6,71,5.5,0.0
2026-09-21,Punjab,Amritsar,26.9,73,5.3,0.0
2026-09-21,Punjab,Barnala,26.7,75,5.3,0.0
2026-09-21,Punjab,Bathinda,27.9,68,4.5,0.0
2026-09-21,Punjab,Faridkot,27.6,72,3.8,0.0
2026-09-21,Punjab,Fatehgarh Sahib,28.5,61,9.5,0.0
2026-09-21,Punjab,Fazilka,27.8,71,1.9,0.0
2026-09-21,Punjab,Ferozepur,28.0,70,4.0,0.0
2026-09-21,Punjab,Gurdaspur,27.6,68,5.8,0.0
2026-09-21,Punjab,Hoshiarpur,28.7,62,5.6,0.0
2026-09-21,Punjab,Jalandhar,27.4,71,5.6,0.0
2026-09-21,Punjab,Kapurthala,27.3,72,5.7,0.0
2026-09-21,Punjab,Ludhiana,28.3,63,7.3,0.0
2026-09-21,Punjab,Malerkotla,27.3,70,7.5,0.0
2026-09-21,Punjab,Mansa,27.3,70,4.3,0.0
2026-09-21,Punjab,Moga,27.9,66,4.6,0.0
2026-09-21,Punjab,Pathankot,26.1,74,4.5,0.0
2026-09-21,Punjab,Patiala,28.3,63,8.5,0.0
2026-09-21,Punjab,Rupnagar,28.1,65,5.1,0.0
2026-09-21,Punjab,S A S Nagar,28.1,63,7.1,0.0
2026-09-21,Punjab,Sangrur,27.5,69,6.7,0.0
2026-09-21,Punjab,Shahid Bhagat Singh Nagar,28.9,59,7.6,0.0
2026-09-21,Punjab,Sri Muktsar Sahib,28.1,69,2.7,0.0
2026-09-21,Punjab,Tarn Taran,27.4,70,4.6,0.0
